,year_month,year,month_num,month,no_of_rainy_days,maximum_rainfall_in_a_day,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,max_temperature,temp_extremes_min,temp_mean_daily_max,temp_mean_daily_min
326,2009-03,2009,3,Mar,19,56.3,223.3,85.4,54,5.5,27.2,33.2,22.3,31.4,24.1
327,2009-04,2009,4,Apr,12,86.6,183.7,82.2,48,6.2,28.5,34.7,22.9,32.3,25.4
328,2009-05,2009,5,May,17,41.3,198.6,83.0,52,6.6,28.7,33.6,21.8,32.2,25.3
329,2009-06,2009,6,Jun,8,5.8,21.8,79.8,53,7.0,29.1,33.7,24.0,32.6,26.2
330,2009-07,2009,7,Jul,16,24.4,161.0,80.8,56,6.2,28.3,33.1,22.1,31.7,25.3
331,2009-08,2009,8,Aug,12,35.5,177.8,80.7,51,6.5,28.3,33.5,22.6,31.7,25.6
332,2009-09,2009,9,Sep,13,63.0,109.6,82.0,53,5.6,28.3,33.0,23.1,31.7,25.5
333,2009-10,2009,10,Oct,15,38.4,133.4,82.8,49,5.4,28.2,33.9,23.4,32.1,25.2
334,2009-11,2009,11,Nov,23,61.4,281.8,85.6,51,4.7,27.2,34.1,23.5,31.5,24.8
335,2009-12,2009,12,Dec,18,42.6,189.8,86.3,61,4.7,27.1,32.6,23.2,30.7,24.6
336,2010-01,2010,1,Jan,10,24.5,69.5,82.1,50,7.1,27.5,32.3,21.8,31.2,24.4
337,2010-02,2010,2,Feb,4,2.9,6.3,77.3,47,8.8,28.9,35.2,23.8,33.5,25.5
338,2010-03,2010,3,Mar,11,57.6,238.0,79.9,46,6.1,28.6,35.5,22.8,33.1,25.1
339,2010-04,2010,4,Apr,18,40.0,158.5,84.1,55,6.2,28.6,34.5,22.5,32.8,25.0
340,2010-05,2010,5,May,17,90.5,157.5,82.2,50,6.5,29.2,35.2,22.9,33.2,25.9
341,2010-06,2010,6,Jun,19,43.0,240.5,83.9,55,5.1,28.3,33.5,23.0,31.4,25.2
342,2010-07,2010,7,Jul,18,121.1,298.5,84.8,48,4.6,27.7,33.4,22.4,30.9,24.6
343,2010-08,2010,8,Aug,16,60.2,158.4,84.2,50,5.4,27.9,33.1,22.0,31.2,24.6
344,2010-09,2010,9,Sep,13,28.0,121.5,82.5,50,5.7,28.0,33.2,22.6,31.8,24.9
345,2010-10,2010,10,Oct,17,58.1,166.2,82.3,43,4.2,28.3,34.1,22.6,31.7,25.1
346,2010-11,2010,11,Nov,21,41.6,278.8,85.9,52,5.0,27.4,33.1,21.7,31.6,24.2
347,2010-12,2010,12,Dec,14,85.8,181.4,85.3,54,3.6,26.8,33.6,22.3,30.8,23.9
348,2011-01,2011,1,Jan,17,216.2,513.2,85.8,57,4.5,26.3,32.4,21.6,29.7,23.5
349,2011-02,2011,2,Feb,8,17.4,23.0,81.1,41,7.5,27.3,33.5,23.2,31.7,24.1
350,2011-03,2011,3,Mar,22,54.0,256.6,85.5,47,4.6,27.1,33.5,21.9,31.3,23.9
351,2011-04,2011,4,Apr,12,61.8,217.8,83.9,55,7.2,27.9,33.1,21.4,31.9,24.6
352,2011-05,2011,5,May,15,34.2,127.0,85.3,46,5.9,28.5,35.3,23.4,32.4,25.2
353,2011-06,2011,6,Jun,15,82.0,213.0,83.7,56,5.0,28.4,33.1,22.2,31.3,25.2
354,2011-07,2011,7,Jul,7,30.0,76.6,81.3,59,7.8,28.7,32.9,22.2,31.9,25.5
355,2011-08,2011,8,Aug,13,30.2,81.4,82.6,52,6.1,27.9,32.5,23.3,31.0,25.6
356,2011-09,2011,9,Sep,14,40.4,136.4,82.7,51,5.1,27.8,32.4,21.5,30.9,25.1
357,2011-10,2011,10,Oct,20,54.0,216.8,87.4,55,5.3,27.3,32.5,22.5,31.0,24.7
358,2011-11,2011,11,Nov,24,78.6,377.8,87.8,55,4.6,27.1,32.5,22.8,31.1,24.6
359,2011-12,2011,12,Dec,21,87.4,284.6,88.4,57,3.3,26.6,32.3,22.8,29.9,24.5
360,2012-01,2012,1,Jan,16,26.2,106.1,87.3,59,6.0,26.7,32.5,21.5,30.6,24.3
361,2012-02,2012,2,Feb,11,38.4,83.6,85.6,55,7.0,27.2,32.9,22.7,31.1,24.8
362,2012-03,2012,3,Mar,21,92.3,313.4,87.3,58,4.2,27.0,33.2,21.1,31.1,24.4
363,2012-04,2012,4,Apr,20,48.4,260.6,85.1,54,5.8,27.6,32.9,21.9,31.4,24.8
364,2012-05,2012,5,May,19,79.2,292.0,83.1,52,5.6,28.2,33.7,22.0,31.7,24.8
365,2012-06,2012,6,Jun,8,38.2,53.0,79.0,49,6.0,28.7,32.7,22.8,31.6,26.3
366,2012-07,2012,7,Jul,17,35.4,130.8,81.1,48,6.2,27.7,32.1,22.9,30.8,25.3
367,2012-08,2012,8,Aug,12,31.0,119.0,79.8,54,6.1,27.9,32.7,23.1,31.0,25.4
368,2012-09,2012,9,Sep,10,35.8,107.6,79.7,49,5.6,27.9,32.7,22.5,31.3,25.3
369,2012-10,2012,10,Oct,13,22.6,122.2,81.3,51,5.9,27.7,33.1,23.5,31.7,25.2
370,2012-11,2012,11,Nov,22,49.2,208.2,85.4,51,4.4,27.1,32.8,23.4,31.4,24.7
371,2012-12,2012,12,Dec,22,78.8,363.4,87.0,61,3.6,26.7,32.2,22.2,30.6,24.4
372,2013-01,2013,1,Jan,15,73.0,262.0,82.1,42,6.0,27.1,35.2,21.6,30.8,24.6
373,2013-02,2013,2,Feb,22,95.2,395.2,86.9,54,4.0,26.5,32.5,21.5,30.1,24.3
374,2013-03,2013,3,Mar,10,29.6,85.8,80.4,48,7.5,28.3,33.8,23.9,32.4,25.6
375,2013-04,2013,4,Apr,19,41.6,159.4,82.7,46,5.2,28.2,34.9,22.1,32.1,25.3
376,2013-05,2013,5,May,17,46.2,211.4,83.1,45,5.4,28.2,33.9,22.9,31.8,25.6
377,2013-06,2013,6,Jun,12,22.4,111.4,74.6,36,6.4,29.0,34.5,22.6,32.6,25.9
378,2013-07,2013,7,Jul,15,37.4,174.6,79.9,43,5.7,27.8,33.5,22.9,31.1,25.2
379,2013-08,2013,8,Aug,15,43.2,165.6,79.0,50,6.1,27.9,32.8,21.6,31.0,25.1
380,2013-09,2013,9,Sep,19,52.6,257.0,81.3,48,4.6,27.5,32.9,21.9,30.6,24.8
381,2013-10,2013,10,Oct,19,139.8,285.4,79.9,42,6.3,27.7,33.2,20.9,31.4,24.6
382,2013-11,2013,11,Nov,22,44.0,292.4,84.6,51,4.5,27.1,32.9,22.9,31.3,24.5
383,2013-12,2013,12,Dec,21,119.8,348.2,85.8,45,3.5,26.5,33.7,21.2,30.2,24.1
384,2014-01,2014,1,Jan,5,31.2,75.4,78.5,49,5.3,26.2,31.8,22.4,29.6,24.0
385,2014-02,2014,2,Feb,1,0.2,0.2,74.5,43,8.8,27.2,33.8,22.4,31.9,24.5
386,2014-03,2014,3,Mar,6,52.6,66.0,76.0,38,8.0,27.9,34.4,23.6,32.8,25.1
387,2014-04,2014,4,Apr,17,28.8,110.0,80.0,44,5.7,28.2,34.5,22.8,32.4,25.5
388,2014-05,2014,5,May,18,22.2,125.8,80.2,48,5.8,28.6,33.8,23.0,32.1,25.8
389,2014-06,2014,6,Jun,11,18.8,71.4,77.5,45,6.0,29.0,33.6,23.0,32.1,26.3
390,2014-07,2014,7,Jul,15,29.0,148.6,78.3,53,5.5,28.7,33.2,21.1,31.6,25.8
391,2014-08,2014,8,Aug,20,44.2,241.0,79.7,53,4.5,27.7,31.9,22.0,30.4,25.2
392,2014-09,2014,9,Sep,9,34.6,83.6,75.6,37,7.0,28.5,33.2,22.4,31.8,25.7
393,2014-10,2014,10,Oct,10,32.8,120.0,77.0,40,6.0,28.4,34.1,24.0,32.1,25.7
394,2014-11,2014,11,Nov,23,64.4,250.8,82.4,53,5.4,27.5,33.4,22.2,31.6,24.8
395,2014-12,2014,12,Dec,17,48.2,245.6,82.6,51,3.7,27.0,33.6,22.4,30.6,24.7
396,2015-01,2015,1,Jan,6,33.6,79.6,77.6,49,7.4,26.9,32.4,23.3,30.7,24.6
397,2015-02,2015,2,Feb,6,10.8,18.8,75.4,49,7.3,27.0,33.6,23.1,31.3,24.4
398,2015-03,2015,3,Mar,5,46.0,84.4,75.8,47,7.3,28.2,34.4,23.4,32.5,25.5
399,2015-04,2015,4,Apr,13,18.8,73.2,77.1,48,7.2,28.6,34.4,24.0,33.2,25.9
400,2015-05,2015,5,May,12,22.2,89.0,78.9,46,5.8,28.7,34.2,24.0,32.2,26.4
401,2015-06,2015,6,Jun,10,28.4,95.8,75.8,42,6.7,29.0,34.3,24.2,32.0,26.6
402,2015-07,2015,7,Jul,13,45.8,116.8,74.9,51,7.1,29.1,32.7,22.1,31.9,26.7
403,2015-08,2015,8,Aug,11,63.2,185.8,76.7,40,6.1,28.4,33.1,22.6,31.2,26.0
404,2015-09,2015,9,Sep,8,18.4,61.6,75.0,40,4.3,28.7,33.2,23.1,31.7,26.5
405,2015-10,2015,10,Oct,9,28.6,87.2,75.4,35,4.7,28.7,33.6,21.9,32.2,26.1
406,2015-11,2015,11,Nov,13,25.8,72.6,79.1,47,4.8,28.0,33.6,23.7,32.1,25.5
407,2015-12,2015,12,Dec,19,40.4,302.3,81.1,49,5.3,27.7,33.1,22.5,31.5,25.0
408,2016-01,2016,1,Jan,15,39.6,126.6,79.6,55,7.2,28.3,32.8,22.9,31.8,26.0
409,2016-02,2016,2,Feb,10,71.8,186.0,78.8,55,6.5,27.8,32.7,23.3,31.1,25.6
410,2016-03,2016,3,Mar,6,2.4,6.2,74.7,47,8.0,29.0,34.1,25.4,33.1,26.6
411,2016-04,2016,4,Apr,14,18.2,89.8,75.6,46,7.0,29.4,35.0,25.3,33.4,26.7
412,2016-05,2016,5,May,12,54.8,193.8,77.4,48,6.2,29.3,34.6,23.9,33.0,26.5
413,2016-06,2016,6,Jun,13,67.8,162.8,77.7,45,5.4,28.5,33.4,22.5,31.6,26.1
414,2016-07,2016,7,Jul,20,59.4,168.6,77.3,48,6.3,28.4,33.4,22.5,31.7,25.8
415,2016-08,2016,8,Aug,15,30.6,139.2,74.0,41,6.7,28.9,33.8,22.1,31.8,26.2
416,2016-09,2016,9,Sep,15,34.0,118.9,73.9,33,5.5,28.3,34.4,22.6,32.0,25.1
417,2016-10,2016,10,Oct,16,75.4,181.0,72.0,38,4.6,28.3,34.6,21.6,32.1,25.2
418,2016-11,2016,11,Nov,20,65.6,290.2,77.6,46,3.5,27.4,32.6,22.7,30.7,24.9
419,2016-12,2016,12,Dec,23,73.0,292.6,72.8,34,5.1,27.4,33.6,23.0,31.6,24.7
420,2017-01,2017,1,Jan,21,60.6,197.6,84.8,44,4.8,26.9,33.7,21.8,30.7,24.7
421,2017-02,2017,2,Feb,15,31.0,158.4,83.2,59,7.1,26.9,32.4,22.6,30.7,24.7
422,2017-03,2017,3,Mar,11,30.2,136.2,82.5,52,6.1,27.4,33.3,22.9,31.1,24.9
423,2017-04,2017,4,Apr,21,42.8,208.6,83.5,50,5.3,27.8,34.4,22.8,31.8,25.0
424,2017-05,2017,5,May,15,44.8,190.0,82.8,57,5.9,28.5,32.8,23.6,31.4,25.9
425,2017-06,2017,6,Jun,10,29.6,106.0,80.2,51,6.3,28.5,33.0,22.2,31.6,25.9
426,2017-07,2017,7,Jul,9,30.2,79.6,79.6,57,7.0,28.3,32.4,23.5,31.0,26.0
427,2017-08,2017,8,Aug,18,29.4,84.2,79.9,54,6.1,28.1,33.0,23.7,31.0,25.9
428,2017-09,2017,9,Sep,19,20.2,124.4,81.0,55,5.7,28.0,32.4,22.3,31.2,25.4
429,2017-10,2017,10,Oct,18,31.2,120.8,82.5,45,5.5,27.9,34.6,23.5,31.6,25.3
430,2017-11,2017,11,Nov,24,45.2,268.6,86.3,60,4.2,27.1,32.5,23.1,30.8,24.6
431,2017-12,2017,12,Dec,23,69.8,371.2,85.2,51,5.6,27.0,33.5,23.2,30.8,24.6
432,2018-01,2018,1,Jan,25,45.8,287.0,86.6,44,4.1,26.1,33.2,21.3,29.8,24.0
433,2018-02,2018,2,Feb,5,13.0,14.8,77.2,49,8.0,27.2,33.5,23.5,31.2,24.8
434,2018-03,2018,3,Mar,10,15.2,44.6,78.4,49,6.4,28.0,34.2,23.6,32.4,25.4
435,2018-04,2018,4,Apr,14,14.0,61.2,78.5,39,6.8,28.5,35.0,22.6,33.2,25.8
436,2018-05,2018,5,May,19,47.4,132.2,79.0,43,5.8,28.7,34.2,23.6,32.4,26.2
437,2018-06,2018,6,Jun,17,46.8,182.6,79.3,51,4.1,28.4,33.4,22.9,31.3,25.6
438,2018-07,2018,7,Jul,10,32.4,143.2,77.7,50,6.1,28.5,33.0,21.9,31.3,26.0
439,2018-08,2018,8,Aug,11,34.6,121.6,77.0,39,6.7,28.5,33.2,21.9,31.7,26.1
440,2018-09,2018,9,Sep,13,45.0,144.4,77.1,48,6.0,28.0,33.0,21.4,31.2,25.3
441,2018-10,2018,10,Oct,18,60.6,234.4,79.7,33,6.1,27.9,34.5,22.5,31.9,25.2
442,2018-11,2018,11,Nov,27,20.6,169.6,83.2,53,3.8,27.3,33.4,22.4,31.0,24.6
443,2018-12,2018,12,Dec,19,43.8,172.6,81.5,47,5.1,27.6,33.8,23.6,31.6,25.3
444,2019-01,2019,1,Jan,9,38.2,63.6,75.6,47,7.1,28.0,33.4,23.5,31.7,25.6
445,2019-02,2019,2,Feb,5,13.4,31.6,74.1,46,9.2,28.2,34.1,21.9,32.8,25.4
446,2019-03,2019,3,Mar,6,29.0,72.2,72.3,40,8.3,28.7,34.8,22.3,33.5,25.6
447,2019-04,2019,4,Apr,9,52.4,174.8,77.6,48,5.9,28.6,34.5,22.7,32.7,25.9
448,2019-05,2019,5,May,13,17.2,69.0,79.2,52,7.0,29.3,34.7,22.8,32.7,26.5
449,2019-06,2019,6,Jun,16,37.6,173.8,79.5,47,5.3,28.4,33.0,23.3,31.3,26.1
450,2019-07,2019,7,Jul,8,6.6,12.2,75.2,45,7.5,29.0,33.4,23.9,32.1,26.9
451,2019-08,2019,8,Aug,6,3.8,11.8,72.1,35,7.6,29.1,34.0,24.5,32.7,27.1
452,2019-09,2019,9,Sep,4,16.4,22.8,73.0,37,6.7,29.0,34.3,22.9,33.0,26.6
453,2019-10,2019,10,Oct,15,92.2,176.8,78.1,38,6.5,28.1,34.4,22.9,32.7,25.3
454,2019-11,2019,11,Nov,15,73.4,137.4,79.2,45,5.5,28.0,34.4,22.9,32.3,25.4
455,2019-12,2019,12,Dec,14,74.2,421.5,83.9,47,4.8,26.7,32.3,22.7,30.1,24.6
456,2020-01,2020,1,Jan,6,38.0,88.4,77.9,43,7.1,27.7,32.8,23.8,31.7,25.2
457,2020-02,2020,2,Feb,8,23.8,65.0,76.0,45,8.3,27.9,33.1,23.7,31.7,25.3
458,2020-03,2020,3,Mar,8,47.4,108.8,75.2,44,7.6,28.6,34.0,24.1,32.9,25.9
459,2020-04,2020,4,Apr,12,51.8,188.0,76.4,46,7.1,28.9,34.6,23.8,33.0,26.0
460,2020-05,2020,5,May,16,53.8,255.6,79.1,50,5.7,28.9,34.5,23.6,32.2,26.1
461,2020-06,2020,6,Jun,21,41.0,233.8,80.2,53,4.3,28.1,33.0,23.7,31.0,25.5
462,2020-07,2020,7,Jul,22,30.4,140.8,78.2,53,5.7,27.9,32.5,23.7,31.0,25.5
463,2020-08,2020,8,Aug,12,34.6,103.4,76.8,41,6.4,28.3,33.0,22.5,31.4,25.9
464,2020-09,2020,9,Sep,18,32.8,150.2,79.0,48,4.8,27.5,33.2,21.9,31.0,24.9
465,2020-10,2020,10,Oct,16,19.0,78.8,75.4,44,4.3,28.3,34.1,22.2,31.6,25.6
466,2020-11,2020,11,Nov,19,64.2,220.6,81.7,49,4.0,27.2,33.4,23.3,31.0,25.0
467,2020-12,2020,12,Dec,20,58.2,253.2,81.1,49,5.2,27.2,33.5,23.0,31.5,24.5
468,2021-01,2021,1,Jan,17,210.6,692.8,82.6,55,4.2,26.0,31.6,21.7,29.1,23.8
469,2021-02,2021,2,Feb,2,0.6,1.0,73.8,46,8.2,27.3,33.7,23.7,31.6,24.8
470,2021-03,2021,3,Mar,14,38.0,182.4,76.6,42,7.3,27.9,34.2,23.0,32.8,25.0
471,2021-04,2021,4,Apr,14,83.8,290.4,77.4,43,6.8,28.2,34.7,23.1,32.4,25.3
472,2021-05,2021,5,May,13,49.8,245.8,79.3,49,6.0,28.7,33.6,22.9,32.1,26.0
473,2021-06,2021,6,Jun,20,23.8,93.4,77.8,42,6.5,28.5,33.7,23.4,32.1,25.6
474,2021-07,2021,7,Jul,12,75.0,195.8,76.5,48,6.8,28.6,33.4,23.2,31.8,26.2
475,2021-08,2021,8,Aug,24,71.4,293.6,80.4,51,4.8,27.6,32.9,21.9,31.0,24.8
476,2021-09,2021,9,Sep,14,63.4,205.4,77.3,45,6.4,28.3,33.3,22.5,31.7,25.6
477,2021-10,2021,10,Oct,14,59.6,177.0,78.3,45,6.2,28.5,33.8,23.2,32.2,25.8
478,2021-11,2021,11,Nov,23,47.8,312.4,81.7,41,4.9,27.6,33.9,22.8,31.8,24.8
479,2021-12,2021,12,Dec,15,46.8,119.6,79.7,47,5.4,27.7,33.9,22.9,31.4,25.4
480,2022-01,2022,1,Jan,9,50.0,99.8,77.4,49,8.3,27.4,33.1,23.2,31.6,24.9
481,2022-02,2022,2,Feb,16,29.6,175.0,80.3,51,5.9,27.3,33.6,22.6,31.2,24.8
482,2022-03,2022,3,Mar,21,36.2,163.2,79.2,48,6.4,28.1,34.2,23.0,32.7,25.1
483,2022-04,2022,4,Apr,18,58.8,239.6,80.0,51,5.2,28.1,34.0,23.1,32.1,25.1
484,2022-05,2022,5,May,12,44.6,102.0,76.5,41,6.7,29.2,35.4,23.5,32.9,26.2
485,2022-06,2022,6,Jun,17,59.4,211.8,79.1,54,4.7,27.9,33.6,22.9,31.1,25.3
486,2022-07,2022,7,Jul,16,27.8,145.2,76.8,53,6.2,28.6,32.9,22.2,31.7,25.8
487,2022-08,2022,8,Aug,15,32.4,141.4,77.4,50,5.5,28.1,33.2,23.7,31.2,25.8
488,2022-09,2022,9,Sep,14,38.2,121.0,76.9,52,3.8,27.9,32.6,22.4,31.1,25.4
489,2022-10,2022,10,Oct,27,38.8,280.0,78.7,47,3.5,27.6,34.6,23.1,31.5,24.7
490,2022-11,2022,11,Nov,26,53.0,313.8,79.9,46,3.8,27.4,33.9,22.4,31.4,24.4
